0,13.296
0.966,13.2469
1.945,13.1855
2.943,13.1273
3.943,13.0543
4.944,12.994
5.943,12.9221
6.944,12.8671
7.944,12.8072
8.944,12.7354
9.944,12.6784
10.943,12.6114
11.944,12.5597
12.944,12.4927
13.943,12.4294
14.944,12.3666
15.943,12.3049
16.944,12.247
17.944,12.1816
18.944,12.1226
19.944,12.0668
20.943,12.0076
21.944,11.948
22.944,11.8909
23.943,11.8256
24.944,11.772
25.944,11.7164
26.944,11.6529
27.943,11.5993
28.944,11.5371
29.944,11.4907
30.944,11.4314
31.944,11.3813
32.943,11.3217
33.944,11.2674
34.944,11.2011
35.944,11.1486
36.944,11.0997
37.944,11.0429
38.943,10.9773
39.944,10.9265
40.944,10.8775
41.944,10.8209
42.944,10.766
43.943,10.7172
44.944,10.663
45.944,10.6036
46.942,10.5574
47.942,10.4995
48.943,10.4471
49.942,10.3916
50.942,10.3423
51.942,10.2991
52.943,10.2366
53.942,10.1895
54.943,10.13
55.942,10.0871
56.942,10.0342
57.944,9.9859
58.944,9.9346
59.944,9.8827
60.944,9.829
61.943,9.7786
62.943,9.7268
63.943,9.676
64.944,9.6341
65.944,9.5858
66.943,9.5396
67.944,9.4839
68.944,9.4399
69.944,9.3907
70.943,9.3456
71.944,9.2975
72.943,9.2537
73.944,9.1915
74.944,9.1657
75.943,9.1156
76.943,9.06
77.943,9.0266
78.943,8.9854
79.943,8.931
80.943,8.8939
81.944,8.8537
82.943,8.8078
83.944,8.7609
84.944,8.7152
85.944,8.6823
86.943,8.6375
87.944,8.5917
88.944,8.5457
89.943,8.4992
90.944,8.4612
91.944,8.3946
92.943,8.3489
93.944,8.3156
94.944,8.2794
95.943,8.2296
96.943,8.1794
97.944,8.1576
98.944,8.1266
99.943,8.0862
100.944,8.0413
101.943,8.0048
102.944,7.9604
103.944,7.9142
104.943,7.8807
105.944,7.8379
106.943,7.7963
107.944,7.7602
108.944,7.7151
109.944,7.6768
110.944,7.6394
111.944,7.5966
112.944,7.561
113.944,7.5206
114.944,7.4848
115.944,7.4423
116.944,7.3988
117.944,7.37
118.944,7.3356
119.943,7.2945
120.943,7.2596
121.944,7.2218
122.944,7.1846
123.944,7.147
124.944,7.1157
125.944,7.0835
126.943,7.0497
127.944,7.0095
128.944,6.9559
129.944,6.939
130.943,6.8999
131.944,6.8616
132.943,6.829
133.943,6.7976
134.944,6.7648
135.944,6.7281
136.944,6.6897
137.943,6.6497
138.944,6.626
139.944,6.5927
140.943,6.5523
141.944,6.517
142.944,6.4833
143.943,6.4513
144.943,6.4149
145.944,6.3805
146.943,6.35
147.944,6.3238
148.943,6.286
149.943,6.2492
150.943,6.2214
151.944,6.1893
152.943,6.1564
153.944,6.1227
154.943,6.0859
155.944,6.0602
156.943,6.0343
157.943,6.0014
158.943,5.9715
159.943,5.9336
160.944,5.9074
161.944,5.873
162.944,5.8443
163.944,5.8141
164.944,5.7851
165.944,5.7569
166.944,5.7124
167.943,5.6915
168.943,5.6644
169.943,5.6336
170.943,5.6051
171.943,5.5729
172.943,5.5425
173.943,5.5048
174.943,5.4872
175.944,5.4556
176.943,5.4281
177.944,5.3959
178.943,5.3678
179.944,5.3486
180.943,5.3076
181.943,5.2985
182.943,5.2474
